p, k, b/c, n, result
0.02,4.02,4.5, 172, 0
0.02,3.9,4.5, 11, 0
0.02,3.58,4.5, 30, 0
0.02,3.92,4.5, 170, 0
0.02,3.62,4.5, 38, 0
0.02,4.12,4.5, 8653, 0
0.02,3.86,4.5, 129, 0
0.02,3.76,4.5, 546, 0
0.02,4.1,4.5, 1, 0
0.02,4.04,4.5, 21, 0
0.02,3.54,4.5, 291, 0
0.02,3.7,4.5, 9990, 0
0.02,3.6,4.5, 108, 0
0.02,4.24,4.5, 274, 0
0.02,4.12,4.5, 65, 0
0.02,4.34,4.5, 179, 0
0.02,4.12,4.5, 222, 0
0.02,3.78,4.5, 40, 0
0.02,4.1,4.5, 33, 0
0.02,3.78,4.5, 47, 0
0.02,4.02,4.5, 21, 0
0.02,4.18,4.5, 155, 0
0.02,3.98,4.5, 21, 0
0.02,4.14,4.5, 4, 0
0.02,3.92,4.5, 110, 0
0.02,3.72,4.5, 106, 0
0.02,3.56,4.5, 21, 0
0.02,3.86,4.5, 4367, 100
0.02,4.08,4.5, 243, 0
0.02,4.06,4.5, 657, 0
0.02,3.86,4.5, 42, 0
0.02,4.04,4.5, 139, 0
0.02,3.6,4.5, 157, 0
0.02,3.92,4.5, 51, 0
0.02,4.46,4.5, 363, 0
0.02,3.56,4.5, 25, 0
0.02,3.46,4.5, 73, 0
0.02,3.94,4.5, 922, 0
0.02,3.52,4.5, 800, 0
0.02,4.1,4.5, 1637, 0
0.02,3.92,4.5, 131, 0
0.02,3.54,4.5, 64, 0
0.02,3.64,4.5, 176, 0
0.02,4.0,4.5, 16, 0
0.02,4.1,4.5, 39, 0
0.02,3.92,4.5, 42, 0
0.02,4.14,4.5, 290, 0
0.02,3.9,4.5, 322, 0
0.02,3.64,4.5, 822, 0
0.02,4.08,4.5, 239, 0
0.02,3.94,4.5, 242, 0
0.02,3.92,4.5, 21, 0
0.02,3.92,4.5, 427, 0
0.02,3.74,4.5, 759, 0
0.02,3.54,4.5, 135, 0
0.02,3.62,4.5, 313, 0
0.02,4.22,4.5, 78, 0
0.02,3.88,4.5, 2125, 0
0.02,4.18,4.5, 1652, 0
0.02,3.96,4.5, 125, 0
0.02,3.78,4.5, 187, 0
0.02,3.86,4.5, 146, 0
0.02,4.06,4.5, 65, 0
0.02,3.78,4.5, 17, 0
0.02,3.86,4.5, 7, 0
0.02,3.74,4.5, 28, 0
0.02,3.84,4.5, 30, 0
0.02,4.08,4.5, 10, 0
0.02,3.74,4.5, 8, 0
0.02,3.7,4.5, 367, 0
0.02,4.1,4.5, 58, 0
0.02,4.1,4.5, 126, 0
0.02,3.74,4.5, 86, 0
0.02,4.0,4.5, 51, 0
0.02,3.98,4.5, 62, 0
0.02,3.88,4.5, 2973, 100
0.02,4.12,4.5, 22, 0
0.02,3.64,4.5, 330, 0
0.02,4.1,4.5, 5, 0
0.02,3.7,4.5, 48, 0
0.02,4.16,4.5, 81, 0
0.02,4.0,4.5, 2, 0
0.02,3.5,4.5, 7, 0
0.02,3.66,4.5, 315, 0
0.02,4.04,4.5, 456, 0
0.02,4.0,4.5, 92, 0
0.02,4.16,4.5, 31, 0
0.02,4.22,4.5, 4, 0
0.02,3.76,4.5, 313, 0
0.02,3.96,4.5, 199, 0
0.02,3.62,4.5, 117, 0
0.02,4.06,4.5, 1188, 0
0.02,4.18,4.5, 145, 0
0.02,4.12,4.5, 86, 0
0.02,3.54,4.5, 6, 0
0.02,3.7,4.5, 144, 0
0.02,4.02,4.5, 86, 0
0.02,3.96,4.5, 267, 0
0.02,3.88,4.5, 3, 0
0.02,4.0,4.5, 2986, 0
0.02,3.96,4.5, 145, 0
0.02,3.88,4.5, 93, 0
0.02,3.78,4.5, 134, 0
0.02,3.88,4.5, 7, 0
0.02,3.62,4.5, 173, 0
0.02,3.68,4.5, 360, 0
0.02,4.18,4.5, 51, 0
0.02,4.1,4.5, 119, 0
0.02,4.22,4.5, 3, 0
0.02,3.92,4.5, 4147, 0
0.02,4.02,4.5, 43, 0
0.02,3.96,4.5, 207, 0
0.02,3.84,4.5, 31, 0
0.02,3.5,4.5, 199, 0
0.02,3.74,4.5, 173, 0
0.02,3.88,4.5, 7102, 100
0.02,3.84,4.5, 1036, 0
0.02,3.96,4.5, 68, 0
0.02,4.5,4.5, 227, 0
0.02,3.66,4.5, 692, 0
0.02,3.78,4.5, 78, 0
0.02,4.18,4.5, 98, 0
0.02,4.28,4.5, 49, 0
0.02,4.02,4.5, 46, 0
0.02,3.82,4.5, 28, 0
0.02,4.04,4.5, 49, 0
0.02,3.6,4.5, 3405, 0
0.02,4.22,4.5, 108, 0
0.02,4.16,4.5, 255, 0
0.02,4.16,4.5, 5, 0
0.02,4.06,4.5, 4, 0
0.02,3.5,4.5, 84, 0
0.02,3.72,4.5, 67, 0
0.02,4.06,4.5, 9, 0
0.02,3.8,4.5, 112, 0
0.02,3.86,4.5, 130, 0
0.02,4.28,4.5, 285, 0
0.02,3.78,4.5, 591, 0
0.02,3.8,4.5, 824, 0
0.02,4.1,4.5, 150, 0
0.02,3.72,4.5, 1456, 0
0.02,3.78,4.5, 423, 0
0.02,3.94,4.5, 54, 0
0.02,3.44,4.5, 11, 0
0.02,3.64,4.5, 98, 0
0.02,4.02,4.5, 2, 0
0.02,4.04,4.5, 121, 0
0.02,4.2,4.5, 31, 0
0.02,3.56,4.5, 817, 0
0.02,4.12,4.5, 200, 0
0.02,3.72,4.5, 5499, 100
0.02,4.08,4.5, 7, 0
0.02,3.88,4.5, 10, 0
0.02,3.7,4.5, 545, 0
0.02,3.76,4.5, 504, 0
0.02,3.76,4.5, 14, 0
0.02,3.84,4.5, 7, 0
0.02,3.82,4.5, 25, 0
0.02,4.08,4.5, 68, 0
0.02,4.0,4.5, 2538, 0
0.02,4.08,4.5, 14384, 0
0.02,4.18,4.5, 770, 0
0.02,3.94,4.5, 27, 0
0.02,3.72,4.5, 35, 0
0.02,3.98,4.5, 98, 0
0.02,4.22,4.5, 5, 0
0.02,3.96,4.5, 24, 0
0.02,4.06,4.5, 306, 0
0.02,3.98,4.5, 395, 0
0.02,3.88,4.5, 6, 0
0.02,4.12,4.5, 521, 0
0.02,3.48,4.5, 10726, 100
0.02,4.12,4.5, 426, 0
0.02,4.0,4.5, 209, 0
0.02,4.16,4.5, 308, 0
0.02,4.28,4.5, 4157, 100
0.02,3.66,4.5, 1305, 0
0.02,3.96,4.5, 723, 0
0.02,4.02,4.5, 661, 0
0.02,3.82,4.5, 44, 0
0.02,3.56,4.5, 4035, 0
0.02,4.28,4.5, 392, 0
0.02,3.8,4.5, 60, 0
0.02,4.08,4.5, 78, 0
0.02,3.94,4.5, 62, 0
0.02,3.9,4.5, 1309, 0
0.02,4.18,4.5, 175, 0
0.02,4.0,4.5, 482, 0
0.02,3.74,4.5, 132, 0
0.02,3.94,4.5, 11, 0
0.02,3.84,4.5, 93, 0
0.02,4.06,4.5, 163, 0
0.02,3.86,4.5, 16, 0
0.02,4.06,4.5, 151, 0
0.02,3.76,4.5, 345, 0
0.02,4.04,4.5, 46, 0
0.02,3.76,4.5, 343, 0
0.02,3.86,4.5, 95, 0
