p, k, b/c, n, result
0.02,4.0,2.1, 272, 0
0.02,3.84,2.1, 130, 0
0.02,3.66,2.1, 71, 0
0.02,4.02,2.1, 1, 0
0.02,3.8,2.1, 31, 0
0.02,3.92,2.1, 51, 0
0.02,3.92,2.1, 133, 0
0.02,3.9,2.1, 3622, 0
0.02,3.84,2.1, 1067, 0
0.02,4.08,2.1, 10000, 4
0.02,3.7,2.1, 14, 0
0.02,3.66,2.1, 270, 0
0.02,3.82,2.1, 96, 0
0.02,4.48,2.1, 41, 0
0.02,3.96,2.1, 29, 0
0.02,4.24,2.1, 387, 0
0.02,3.8,2.1, 363, 0
0.02,3.94,2.1, 7892, 0
0.02,4.08,2.1, 186, 0
0.02,3.86,2.1, 152, 0
0.02,3.68,2.1, 686, 0
0.02,3.86,2.1, 7, 0
0.02,3.8,2.1, 20, 0
0.02,3.52,2.1, 54, 0
0.02,3.92,2.1, 8, 0
0.02,3.84,2.1, 10000, 15
0.02,4.28,2.1, 108, 0
0.02,4.16,2.1, 20, 0
0.02,4.08,2.1, 3097, 0
0.02,3.8,2.1, 109, 0
0.02,3.76,2.1, 183, 0
0.02,3.54,2.1, 3399, 0
0.02,3.84,2.1, 4626, 0
0.02,3.94,2.1, 45, 0
0.02,3.96,2.1, 51, 0
0.02,4.24,2.1, 60, 0
0.02,3.8,2.1, 31, 0
0.02,4.02,2.1, 20, 0
0.02,4.02,2.1, 28, 0
0.02,3.62,2.1, 839, 0
0.02,4.04,2.1, 1327, 0
0.02,3.72,2.1, 206, 0
0.02,3.86,2.1, 45, 0
0.02,3.82,2.1, 156, 0
0.02,4.2,2.1, 91, 0
0.02,4.06,2.1, 6, 0
0.02,3.68,2.1, 7, 0
0.02,4.22,2.1, 188, 0
0.02,3.56,2.1, 29, 0
0.02,3.96,2.1, 1180, 0
0.02,3.52,2.1, 29, 0
0.02,4.16,2.1, 270, 0
0.02,3.78,2.1, 214, 0
0.02,4.02,2.1, 44, 0
0.02,4.08,2.1, 53, 0
0.02,4.16,2.1, 12, 0
0.02,4.06,2.1, 1667, 0
0.02,3.96,2.1, 117, 0
0.02,4.12,2.1, 1195, 0
0.02,3.82,2.1, 18, 0
0.02,4.0,2.1, 15, 0
0.02,3.84,2.1, 90, 0
0.02,3.62,2.1, 46, 0
0.02,4.14,2.1, 2, 0
