p, k, b/c, n, result
0.01,2.8,2.5, 14, 0
0.01,3.06,2.5, 77, 0
0.01,3.02,2.5, 56, 0
0.01,2.9,2.5, 94, 0
0.01,2.92,2.5, 426, 0
0.01,2.78,2.5, 118, 0
0.01,2.82,2.5, 32, 0
0.01,3.04,2.5, 823, 0
0.01,2.92,2.5, 313, 0
0.01,3.12,2.5, 256, 0
0.01,2.98,2.5, 121, 0
0.01,3.26,2.5, 97, 0
0.01,3.0,2.5, 66, 0
0.01,3.16,2.5, 111, 0
0.01,2.92,2.5, 83, 0
0.01,3.06,2.5, 77, 0
0.01,3.04,2.5, 5, 0
0.01,2.8,2.5, 4, 0
0.01,3.04,2.5, 52, 0
0.01,3.2,2.5, 146, 0
0.01,2.98,2.5, 15, 0
0.01,2.9,2.5, 1474, 0
0.01,3.02,2.5, 28, 0
0.01,2.94,2.5, 316, 0
0.01,2.78,2.5, 112, 0
0.01,2.86,2.5, 347, 0
0.01,3.04,2.5, 266, 0
0.01,2.96,2.5, 13, 0
0.01,2.78,2.5, 1737, 0
0.01,2.86,2.5, 104, 0
0.01,2.92,2.5, 95, 0
0.01,3.1,2.5, 389, 0
0.01,3.06,2.5, 38, 0
0.01,2.88,2.5, 157, 0
0.01,3.04,2.5, 70, 0
0.01,3.06,2.5, 39, 0
0.01,2.86,2.5, 89, 0
0.01,2.86,2.5, 123, 0
0.01,2.84,2.5, 2, 0
0.01,2.94,2.5, 28, 0
0.01,3.0,2.5, 122, 0
0.01,2.94,2.5, 158, 0
0.01,2.74,2.5, 5186, 0
0.01,2.72,2.5, 74, 0
0.01,2.88,2.5, 263, 0
0.01,2.9,2.5, 37, 0
0.01,2.94,2.5, 52, 0
0.01,2.96,2.5, 18, 0
0.01,2.84,2.5, 126, 0
0.01,2.66,2.5, 16, 0
0.01,2.9,2.5, 87, 0
0.01,2.96,2.5, 3490, 0
0.01,2.8,2.5, 60, 0
0.01,2.68,2.5, 2, 0
0.01,2.9,2.5, 40, 0
0.01,2.86,2.5, 18, 0
0.01,2.86,2.5, 73, 0
0.01,2.96,2.5, 57, 0
0.01,3.1,2.5, 98, 0
0.01,3.24,2.5, 1021, 0
0.01,2.78,2.5, 156, 0
0.01,2.74,2.5, 1654, 0
0.01,2.86,2.5, 373, 0
0.01,2.9,2.5, 40, 0
0.01,2.94,2.5, 504, 0
0.01,2.96,2.5, 163, 0
0.01,3.02,2.5, 110, 0
0.01,3.02,2.5, 2, 0
0.01,3.04,2.5, 216, 0
0.01,2.88,2.5, 134, 0
0.01,3.12,2.5, 92, 0
0.01,2.98,2.5, 68, 0
0.01,2.84,2.5, 230, 0
0.01,2.9,2.5, 261, 0
0.01,2.78,2.5, 217, 0
0.01,2.84,2.5, 863, 0
0.01,2.96,2.5, 35, 0
0.01,3.24,2.5, 8197, 0
